demographic,group,year,dem_frac,rep_frac,electorate_frac,num_nation,dem_margin,turnout
age,30 - 44,2016.0,0.5552068554364785,0.3459844252521785,0.2456035464471876,136670626,0.20922243018430003,0.588
age,45 - 59,2016.0,0.44684745788838826,0.4799651109167119,0.33823288527705647,136670626,-0.033117653028323646,0.659
age,60 +,2016.0,0.4752728918755961,0.494703187033588,0.24284325793121295,136670626,-0.019430295157991884,0.703
education,High School Grad,2004,0.3936903080398347,0.5801425383243843,0.29660503832256896,122217180,-0.18645223028454966,0.564
education,Less Than High School,2004,0.6522069852153418,0.34779301478465824,0.04705687812349229,122217180,0.3044139704306836,0.395
education,Some College to Post-Graduate,2004,0.4797485797505768,0.5011252922687429,0.6563380835539386,122217180,-0.02137671251816614,0.748760413902892
education,High School Grad,2008,0.5827136554765903,0.4076047756417195,0.3403352498562014,131049863,0.17510887983487078,0.5489999999999999
education,Less Than High School,2008,0.7581342910707499,0.24186570892925013,0.014611536901083492,131049863,0.5162685821414998,0.39399999999999996
education,Some College to Post-Graduate,2008,0.5082467078016929,0.4664953080208631,0.641328117775366,131049863,0.04175139978082981,0.7399763863093659
education,High School Grad,2012,0.5405009389580752,0.43983639458535584,0.33159580866801247,129254383,0.10066454437271932,0.526
education,Less Than High School,2012,0.6903553930050025,0.2819418047725268,0.013457093786714103,129254383,0.4084135882324757,0.38
education,Some College to Post-Graduate,2012,0.5039329085062726,0.4587387772859579,0.6447411729680146,129254383,0.04519413122031468,0.7129904483947997
education,Less Than High School,2016,0.7223325510019859,0.27766744899801404,0.008720881030981642,136670626,0.44466510200397186,0.34299999999999997
education,High School Grad,2016,0.45002486773713907,0.4869631210169745,0.30548510983169513,136670626,-0.03693825327983541,0.516
education,Some College to Post-Graduate,2016,0.5056910177138702,0.4224921325575803,0.6857940091373231,136670626,0.08319888515628987,0.7058754311488458
