county_name,county_num,dem_margin,dem_num,fips_code,rep_num,state,turnout,vap,year,state_electoral_votes
Stanislaus County,155816,0.0274,77724,06099,73459,CA,0.4137,376671,2012,55
Sutter County,31083,-0.1908,12192,06101,18122,CA,0.4499,69094,2012,55
Tehama County,22977,-0.2742,7934,06103,14235,CA,0.4802,47845,2012,55
Trinity County,5739,-0.0073,2674,06105,2716,CA,0.5137,11172,2012,55
Tulare County,101279,-0.1501,41752,06107,56956,CA,0.33,306916,2012,55
Tuolumne County,24758,-0.1568,9998,06109,13880,CA,0.5515,44891,2012,55
Ventura County,327712,0.0701,170929,06111,147958,CA,0.5223,627438,2012,55
Yolo County,74671,0.3394,48715,06113,23368,CA,0.4673,159779,2012,55
Yuba County,19761,-0.1804,7711,06115,11275,CA,0.3784,52226,2012,55
Adams County,176893,0.1678,100649,08001,70972,CO,0.5344,331011,2012,9
Alamosa County,6715,0.1647,3811,08003,2705,CO,0.5469,12279,2012,9
Arapahoe County,285516,0.0992,153905,08005,125588,CO,0.638,447522,2012,9
Archuleta County,6734,-0.1772,2679,08007,3872,CO,0.6889,9775,2012,9
Baca County,2106,-0.5185,467,08009,1559,CO,0.7144,2948,2012,9
Bent County,1942,-0.1339,815,08011,1075,CO,0.4033,4815,2012,9
Boulder County,179499,0.4184,125091,08013,49981,CO,0.741,242252,2012,9
Broomfield County,32865,0.0596,16966,08014,15008,CO,0.7462,44045,2012,9
Chaffee County,10462,0.0015,5086,08015,5070,CO,0.687,15228,2012,9
Cheyenne County,1093,-0.656,172,08017,889,CO,0.7768,1407,2012,9
Clear Creek County,5743,0.12,3119,08019,2430,CO,0.7545,7612,2012,9
Conejos County,4101,0.0922,2213,08021,1835,CO,0.6854,5983,2012,9
Costilla County,1837,0.4867,1340,08023,446,CO,0.6339,2898,2012,9
Crowley County,1502,-0.259,535,08025,924,CO,0.3211,4677,2012,9
Custer County,2715,-0.3389,868,08027,1788,CO,0.7561,3591,2012,9
Delta County,15925,-0.3952,4622,08029,10915,CO,0.6662,23904,2012,9
Denver County,302418,0.4924,222018,08031,73111,CO,0.6042,500499,2012,9
Dolores County,1245,-0.4217,334,08033,859,CO,0.8037,1549,2012,9
Douglas County,168084,-0.2576,61094,08035,104397,CO,0.7978,210689,2012,9
Eagle County,22668,0.1492,12792,08037,9411,CO,0.5727,39581,2012,9
Elbert County,14178,-0.47,3603,08039,10266,CO,0.7931,17877,2012,9
El Paso County,290175,-0.2038,111819,08041,170952,CO,0.6042,480242,2012,9
Fremont County,20416,-0.3169,6704,08043,13174,CO,0.5223,39092,2012,9
Garfield County,24408,-0.0504,11305,08045,12535,CO,0.5861,41645,2012,9
Gilpin County,3338,0.1636,1892,08047,1346,CO,0.7393,4515,2012,9
Grand County,8187,-0.0695,3684,08049,4253,CO,0.7143,11462,2012,9
Gunnison County,8667,0.1965,5044,08051,3341,CO,0.685,12652,2012,9
Hinsdale County,600,-0.2067,229,08053,353,CO,0.9274,647,2012,9
Huerfano County,3723,0.0825,1953,08055,1646,CO,0.6753,5513,2012,9
Jackson County,848,-0.4528,216,08057,600,CO,0.7599,1116,2012,9
Jefferson County,311052,0.0485,159296,08059,144197,CO,0.7264,428238,2012,9
Kiowa County,821,-0.6809,118,08061,677,CO,0.7304,1124,2012,9
Kit Carson County,3702,-0.5259,838,08063,2785,CO,0.5889,6286,2012,9
Lake County,3040,0.2438,1839,08065,1098,CO,0.5491,5536,2012,9
La Plata County,29308,0.092,15489,08067,12794,CO,0.7002,41857,2012,9
Larimer County,180180,0.0576,92747,08069,82376,CO,0.732,246143,2012,9
Las Animas County,6862,0.0265,3445,08071,3263,CO,0.5744,11947,2012,9
Lincoln County,2287,-0.4963,552,08073,1687,CO,0.5256,4351,2012,9
Logan County,9124,-0.38,2712,08075,6179,CO,0.5207,17524,2012,9
Mesa County,72947,-0.3239,23846,08077,47472,CO,0.6411,113780,2012,9
Moffat County,6168,-0.5456,1330,08081,4695,CO,0.6326,9750,2012,9
Montezuma County,12318,-0.2321,4542,08083,7401,CO,0.6276,19628,2012,9
Montrose County,20130,-0.3683,6138,08085,13552,CO,0.6465,31135,2012,9
Morgan County,10777,-0.2496,3912,08087,6602,CO,0.5223,20633,2012,9
Otero County,8192,-0.0897,3647,08089,4382,CO,0.5798,14128,2012,9
Ouray County,3202,0.0515,1646,08091,1481,CO,0.8505,3765,2012,9
Park County,9366,-0.1467,3862,08093,5236,CO,0.7078,13232,2012,9
Phillips County,2265,-0.4631,588,08095,1637,CO,0.6859,3302,2012,9
Pitkin County,10075,0.3797,6849,08097,3024,CO,0.7023,14345,2012,9
Prowers County,4863,-0.3518,1519,08099,3230,CO,0.5365,9065,2012,9
Pueblo County,76419,0.1395,42551,08101,31894,CO,0.6228,122704,2012,9
Rio Blanco County,3369,-0.64,568,08103,2724,CO,0.6605,5101,2012,9
Rio Grande County,5533,-0.0795,2478,08105,2918,CO,0.6158,8985,2012,9
Routt County,13317,0.156,7547,08107,5469,CO,0.7165,18586,2012,9
Saguache County,2932,0.3073,1865,08109,964,CO,0.6086,4818,2012,9
San Juan County,506,0.1067,266,08111,212,CO,0.8562,591,2012,9
San Miguel County,4256,0.4319,2992,08113,1154,CO,0.6984,6094,2012,9
Sedgwick County,1338,-0.3453,419,08115,881,CO,0.6994,1913,2012,9
Summit County,15312,0.2466,9347,08117,5571,CO,0.6529,23452,2012,9
Teller County,13473,-0.3243,4333,08119,8702,CO,0.719,18738,2012,9
Washington County,2591,-0.6206,468,08121,2076,CO,0.7016,3693,2012,9
Weld County,116291,-0.1266,49050,08123,63775,CO,0.6045,192362,2012,9
Yuma County,4577,-0.5469,987,08125,3490,CO,0.6153,7439,2012,9
Fairfield County,396130,0.1063,217294,09001,175168,CT,0.5582,709624,2012,7
Hartford County,392240,0.2585,244639,09003,143238,CT,0.5617,698307,2012,7
Litchfield County,92427,-0.0362,43856,09005,47201,CT,0.6199,149104,2012,7
Middlesex County,83538,0.1588,47855,09007,34591,CT,0.6323,132111,2012,7
New Haven County,361059,0.2233,218998,09009,138364,CT,0.5331,677252,2012,7
New London County,115102,0.1827,67144,09011,46119,CT,0.5301,217121,2012,7
Tolland County,70991,0.1256,39366,09013,30450,CT,0.5807,122251,2012,7
Windham County,46588,0.1328,25957,09015,19768,CT,0.5025,92704,2012,7
Kent County,68680,0.0494,35527,10001,32135,DE,0.5399,127205,2012,3
New Castle County,252012,0.3407,167082,10003,81230,DE,0.5959,422882,2012,3
Sussex County,93229,-0.1303,39975,10005,52119,DE,0.5736,162541,2012,3
District of Columbia County,293764,0.8363,267070,11001,21381,DC,0.5568,527625,2012,3
Alachua County,120773,0.1731,69699,12001,48797,FL,0.5841,206768,2012,29
Baker County,11390,-0.5851,2311,12003,8975,FL,0.5651,20157,2012,29
Bay County,80101,-0.4348,22051,12005,56876,FL,0.5939,134865,2012,29
Bradford County,11664,-0.4196,3325,12007,8219,FL,0.5402,21594,2012,29
Brevard County,286428,-0.1268,122993,12009,159300,FL,0.6466,442956,2012,29
Broward County,757354,0.3489,508312,12011,244101,FL,0.5326,1421895,2012,29
Calhoun County,6183,-0.437,1664,12013,4366,FL,0.5327,11607,2012,29
Charlotte County,84923,-0.1424,35906,12015,47996,FL,0.604,140611,2012,29
Citrus County,74169,-0.2184,28460,12017,44662,FL,0.629,117907,2012,29
Clay County,96805,-0.4572,25759,12019,70022,FL,0.6648,145613,2012,29
Collier County,149324,-0.3002,51698,12021,96520,FL,0.5535,269765,2012,29
Columbia County,27227,-0.3661,8462,12023,18429,FL,0.5127,53100,2012,29
DeSoto County,9887,-0.1429,4174,12027,5587,FL,0.3621,27301,2012,29
Dixie County,6959,-0.4676,1798,12029,5052,FL,0.5359,12986,2012,29
Duval County,412733,-0.036,196737,12031,211615,FL,0.609,677719,2012,29
Escambia County,148967,-0.2049,58185,12033,88711,FL,0.6204,240099,2012,29
Flagler County,50707,-0.0742,23207,12035,26969,FL,0.6352,79824,2012,29
Franklin County,5494,-0.314,1845,12037,3570,FL,0.5664,9700,2012,29
Gadsden County,22525,0.4058,15770,12039,6630,FL,0.6268,35934,2012,29
Gilchrist County,7937,-0.508,1885,12041,5917,FL,0.5944,13354,2012,29
Glades County,4004,-0.1851,1603,12043,2344,FL,0.3731,10733,2012,29
Gulf County,7126,-0.4183,2014,12045,4995,FL,0.5397,13204,2012,29
Hamilton County,5420,-0.1679,2228,12047,3138,FL,0.4539,11942,2012,29
Hardee County,7244,-0.3083,2463,12049,4696,FL,0.3628,19969,2012,29
Hendry County,10215,-0.0591,4751,12051,5355,FL,0.3764,27138,2012,29
Hernando County,83928,-0.0847,37830,12053,44938,FL,0.6004,139791,2012,29
Highlands County,42541,-0.2296,16148,12055,25915,FL,0.5295,80336,2012,29
Hillsborough County,543429,0.0668,286467,12057,250186,FL,0.5527,983171,2012,29
Holmes County,8290,-0.6821,1264,12059,6919,FL,0.5291,15669,2012,29
Indian River County,71580,-0.2229,27492,12061,43450,FL,0.6222,115051,2012,29
Jackson County,20967,-0.2898,7342,12063,13418,FL,0.5281,39703,2012,29
Jefferson County,7820,0.0175,3945,12065,3808,FL,0.6719,11639,2012,29
Lafayette County,3406,-0.5816,687,12067,2668,FL,0.4848,7026,2012,29
Lake County,151144,-0.171,61799,12069,87643,FL,0.6251,241789,2012,29
Lee County,266598,-0.1651,110157,12071,154163,FL,0.5113,521409,2012,29
Leon County,148671,0.2359,90881,12073,55805,FL,0.647,229798,2012,29
Levy County,18457,-0.3216,6119,12075,12054,FL,0.5808,31776,2012,29
Liberty County,3289,-0.4132,942,12077,2301,FL,0.4997,6582,2012,29
Madison County,8727,-0.0341,4176,12079,4474,FL,0.5794,15063,2012,29
Manatee County,153866,-0.1243,66503,12081,85627,FL,0.5761,267071,2012,29
Marion County,161738,-0.1621,66831,12083,93043,FL,0.5971,270869,2012,29
Martin County,79037,-0.2287,30107,12085,48183,FL,0.6413,123244,2012,29
Miami-Dade County,879179,0.2371,541440,12086,332981,FL,0.4267,2060346,2012,29
Monroe County,39154,0.0043,19404,12087,19234,FL,0.6175,63409,2012,29
Nassau County,40625,-0.4844,10251,12089,29929,FL,0.6896,58909,2012,29
Okaloosa County,95075,-0.4917,23421,12091,70168,FL,0.6441,147598,2012,29
Okeechobee County,12367,-0.1999,4856,12093,7328,FL,0.41,30165,2012,29
Orange County,467303,0.1821,273665,12095,188589,FL,0.5047,925914,2012,29
Osceola County,108922,0.2446,67239,12097,40592,FL,0.5059,215298,2012,29
Palm Beach County,601439,0.17,349651,12099,247398,FL,0.5544,1084890,2012,29
Pasco County,214248,-0.0661,98263,12101,112427,FL,0.5743,373048,2012,29
Pinellas County,459112,0.0563,239104,12103,213258,FL,0.6025,762019,2012,29
Polk County,249442,-0.068,114622,12105,131577,FL,0.5262,474035,2012,29
Putnam County,31424,-0.2437,11667,12107,19326,FL,0.5511,57017,2012,29
St. Johns County,115035,-0.3766,35190,12109,78513,FL,0.7326,157028,2012,29
St. Lucie County,123301,0.0784,65869,12111,56202,FL,0.5544,222385,2012,29
Santa Rosa County,77060,-0.5245,17768,12113,58186,FL,0.632,121927,2012,29
Sarasota County,207961,-0.074,95119,12115,110504,FL,0.6369,326502,2012,29
Seminole County,209120,-0.0645,96445,12117,109943,FL,0.622,336180,2012,29
Sumter County,60546,-0.3489,19524,12119,40646,FL,0.6411,94446,2012,29
Suwannee County,17692,-0.4477,4751,12121,12672,FL,0.5184,34127,2012,29
